良心品牌,類型,地域,地區,地址,LATITUDE,LONGITUDE,REV_ADDR (For checking only),Map Pin Checked?,聯絡方法(電話/電郵),營業時間,資料來源,資料來源 2,Map Marked,良心行動,良心行動連結,良心行動永久備份連結
泰和堂中醫診所,醫療,九龍,觀塘,"秀茂坪曉麗苑曉麗商場229鋪
(觀塘港鐵站A1出口,於裕民坊乘34M小巴直達) ",22.319479,114.229422,香港秀茂坪曉光街21號曉麗苑G座曉和閣,,3791 2107,星期一至日9:00 am - 8:00pm,http://www.taiwotonghk.com/,,,,,
泰和堂中醫診所,醫療,九龍,黃大仙,"九龍瓊東街8號嘉峰臺嘉峰商場1樓7C鋪
(黃大仙港鐵站D1出口) ",22.3405418,114.2111442,香港斧山瓊東街8號,,2776 0083,星期一至日9:00 am - 8:00pm,http://www.taiwotonghk.com/,,,,,
歇腳亭 Sharetea,,九龍,九龍城,九龍城獅子石道恆勝樓114號地下,22.330194,114.1883212,香港九龍城獅子石道78-114號恆勝樓,,23823373,一至日 11:00 - 21:30,https://www.openrice.com/zh/hongkong/r-歇腳亭-九龍城-台灣菜-台式飲品-r40646,,,8月5號罷工一日,,
樂文書店,零售,九龍,旺角,旺角西洋菜街62號三樓,22.3187061,114.1702936,香港旺角西洋菜南街62-72號西洋菜南街62-72號,,2390 3723,星期一至日 11:00am - 8:00pm,https://zh-hk.facebook.com/LuckWinBookStore/,,,,,
樂文書店,零售,香港島,銅鑼灣,銅鑼灣駱克道506號2/F,22.2804621,114.1832863,香港銅鑼灣駱克道506號駱克道506號,,2881 1150,星期一至日 11:00am - 8:00pm,https://zh-hk.facebook.com/LuckWinBookStore/,,,,,
梨花,美容,九龍,觀塘,香港觀塘開源道60號駱駝漆大廈三期5樓A2室,22.310375,114.224833,香港觀塘開源道60號駱駝漆大廈3座,,2304 1777,星期一至日 12:00 - 20:00,https://www.ewha-care.com/,,,,,
梔子⌘Zi,飲食,九龍,尖沙咀,尖沙咀山林道8號地舖,22.3025722,114.1725229,香港尖沙咀山林道15號,,27781628,"星期一至四
12:00 - 00:00
星期五至六
12:00 - 01:00
星期日
12:00 - 00:00",https://www.openrice.com/zh/hongkong/r-梔子-尖沙咀-西式-酒-r532356,,,5/8 罷工,https://www.instagram.com/p/B0tHi7KB5gk/,
梅子貓舍,飲食,九龍,觀塘,觀塘成業街15-17號成運工業大廈14樓3室,,,,,9128 7239,"星期一休息
星期二至五 12:15 - 22:00
星期六及日 13:00 - 22:00",https://www.facebook.com/PlumHouseCat2012,,,18/8 休息遊行,https://www.facebook.com/PlumHouseCat2012/photos/a.250208938461518/1401428740006193/?type=3&theater,
木衛二香港鑄茶所,飲食,新界,荃灣,"荃灣白田壩街45號
南豐紗廠The Mills 1樓118號舖",22.3750707,114.1101695,香港柴灣角白田壩街23-39號長豐工業大廈,,28058108,11:00 - 23:00,https://www.facebook.com/EUROPATEAHK/,,,5/8 罷工,https://www.facebook.com/1949394238406901/posts/2652210384791946?s=222407236&sfns=mo,
木衛二香港鑄茶所,飲食,香港島,銅鑼灣,銅鑼灣怡和街22號地下3號舖,22.2797479,114.1851905,香港銅鑼灣怡和街22號,,36187576,11:00 - 23:00,https://www.facebook.com/EUROPATEAHK/,,,5/8 罷工,https://www.facebook.com/1949394238406901/posts/2652210384791946?s=222407236&sfns=mo,
暢和麵家,飲食,新界,大埔,大埔寶湖道3號寶湖花園商場二樓222B號舖,22.449504,114.168449,香港大埔寶湖道3號寶湖花園2樓219號舖,,34898059,"星期一全日休息
星期二至日11:15 - 18:00",https://www.openrice.com/zh/hongkong/r-暢和麵家-大埔-粵菜-廣東-粉麵-米線-r119356,,,10/8 茶記花盡食材免費派飯,https://hk.lifestyle.appledaily.com/lifestyle/realtime/article/20190810/59913917,
暢和麵家,飲食,香港島,西環,西環石塘咀山道35號兆禧閣D舖,,,,,,,,,,5/8 參與罷市,https://www.facebook.com/Cheungwosaiwan/posts/921869131496121,
星晨旅遊,旅遊,新界,將軍澳,東港城2樓208B室,22.3164475,114.2650921,香港將軍澳重華路8號東港城商場,,3519 3286,"星期一至五: 1100 - 2000
星期六: 1100 - 2000
星期日及公眾假期: 1100 - 2000",http://www.mst.com.hk/Branch.aspx,,,,,
星晨旅遊,旅遊,新界,屯門,屯盛街1號屯門市廣場第一期2樓2126室        ,22.392641,113.976655,香港屯門屯順街1號,,3519 3183,"星期一至五: 1100 - 2000
星期六, 星期日
及公眾假期: 1100 - 2000",http://www.mst.com.hk/Branch.aspx,,,,,
星晨旅遊,旅遊,九龍,旺角,彌敦道636號銀行中心3樓306- 8室,22.3182234,114.1698988,香港旺角彌敦道636號銀行中心,,3519 3230,"星期一至六: 1000 - 2030
星期日及公眾假期: 1000 - 2000",http://www.mst.com.hk/Branch.aspx,,,,,
星晨旅遊,旅遊,新界,沙田,沙田連城廣場7樓716號舖,22.3825691,114.1875111,香港沙田沙田車站圍1號,,3519 3283,"星期一至五: 1000 - 2030
星期六: 1000 - 2030
星期日及公眾假期: 1000 - 2000",http://www.mst.com.hk/Branch.aspx,,,,,
星晨旅遊,旅遊,新界,荃灣,荃灣綠楊坊二樓S4B舖(港鐵荃灣站C出口),22.3732055,114.1193123,香港荃灣蕙荃路22-66號,,3519 3185,"星期一至五: 1100 - 2000
星期六: 1100 - 2000
星期日及公眾假期: 1100 - 2000",http://www.mst.com.hk/Branch.aspx,,,,,
星晨旅遊,旅遊,香港島,銅鑼灣,百德新街2-20號恒隆中心7樓701室,22.280387,114.186027,香港銅鑼灣百德新街2-20號,,3519 3280,"星期一至五: 1100 - 2000
星期六, 星期日
及公眾假期: 1100 - 2000",http://www.mst.com.hk/Branch.aspx,,,,,
星晨旅遊,旅遊,九龍,黃大仙,黃大仙中心北館地下G07 A室,22.342152,114.192359,香港黃大仙中心北館地下G07 A室,,3519 3182,"星期一至五: 1100 - 2000
星期六: 1100 - 2000
星期日及公眾假期: 1100 - 2000",http://www.mst.com.hk/Branch.aspx,,,,,
日日.稲荷,飲食,/,/,/,,,,,/,/,https://www.instagram.com/ririinari/,,,12/8 機場見,https://www.instagram.com/p/B1CKlyLAS36/,
新記專營泰國香米飲品批發,飲品批發,新界,錦田,錦田錦上路348號地下,22.4266623,114.0735924,香港石崗錦上路372號,,98122316,,https://www.facebook.com/sunkeerice/?ref=br_rs,,,5/8 罷工,https://www.facebook.com/sunkeerice/posts/351501045790110,
文華饕記 ,飲食,香港島,灣仔,灣仔克街1-5號展鴻大廈地下D-E號舖,22.27763,114.1772268,香港灣仔克街6號廣生行大廈B-D座,,2661 2817,星期一至日 07:00 - 23:00,https://www.openrice.com/zh/hongkong/r-文華饕記-灣仔-港式-r577886,https://www.facebook.com/leungpakkin.lyricist/photos/a.1454156774843131/2420367361555396/?type=3&theater,,帳單上印有「香港人加油」,,
拉麵天王,飲食,九龍,紅磡,紅磡德民街17-27號B5B地下,22.3061885,114.1876941,香港紅磡德民街15號,,26270766,星期一至日 12:00 - 22:00,https://www.openrice.com/zh/hongkong/r-拉麵天王-紅磡-日本菜-拉麵-r177334,,,提供免費冰水,,
慢生活館,工藝,新界,葵涌,"Unit D1, 4/F, Hoover Industrial Building Nos.-38, 26 Kwai Cheong Rd, Kwai Chung",22.3647135,114.1331237,香港葵涌葵昌路26號豪華工業大廈,,"9710 5134
9673 7329",星期一至日11:00 am - 7:00pm,https://hereworkshop.com,,,,,
慢嬤嬤 mormor,零售,九龍,旺角,旺角奶路臣街15B號1/F,22.3186054,114.1702869,香港旺角西洋菜南街62-72號西洋菜南街62-72號,,68740361,星期一至日15:00 - 21:00,https://www.facebook.com/mormorhk/,,,"8.18 一起用腳步表態！
兩店會休店～明天見：）",https://www.instagram.com/p/B1RLcjoDEVg/?igshid=1tsy77f83abf8,
慢嬤嬤 mormor,零售,新界,葵芳,葵涌廣場3樓時尚坊82F,22.358289,114.127189,香港葵芳葵富路7-11號葵涌廣場1座,,68740361,星期一至日14:00 - 21:00,https://www.facebook.com/mormorhk/,,,"8.18 一起用腳步表態！
兩店會休店～明天見：）",https://www.instagram.com/p/B1RLcjoDEVg/?igshid=1tsy77f83abf8,
想甜嚐甜,飲食,九龍,黃大仙,黃大仙蒲崗村道73號富佑大廈地舖,22.344195,114.1986937,香港竹園蒲崗村道61-87號富祐大廈,,39564744,"星期一至五 15:00 - 00:00; 星期六至日
14:00 - 00:00",https://www.openrice.com/zh/hongkong/restaurants?what=%E6%83%B3%E7%94%9C%E5%9A%90%E7%94%9C,https://hk.lifestyle.appledaily.com/lifestyle/realtime/article/20190809/59911584?fbclid=IwAR0GSiEkM7jSDwnXkDyhTo49BzhK9wvyzeAfgOEC91IRR5JZkG_9DQtOXcw,,【逆權小店】良心甜品店拒警察與棍進入 「希望舖頭成為年輕人的避難所」,,
必食站,,,,,,,,,,,,,,,,
心燒食堂,飲食,香港島,銅鑼灣,銅鑼灣駱克道487-489號駱克駅22-23樓,22.2807387,114.1827755,香港銅鑼灣駱克道487-489號駱克駅,,2383 8686,"星期一至日 18:00 - 02:00
",https://www.openrice.com/zh/hongkong/r-心燒食堂-銅鑼灣-日本菜-串燒-r117340,,,5/8 參與罷市,https://www.facebook.com/SumSiuBarNGrill/photos/a.392212874228731/2252885461494787/?type=3&theater,
彩虹串燒專門店,飲食,新界,大埔,大埔運頭街12-18號美華大廈地舖,22.4468698,114.1685984,香港大埔運頭街12號美華大廈,,5317 7943,星期一至六 18:00-02:00,https://s.openrice.com/QrbS01Ru000~u8hyKAw,,Y,,,
彌明生活百貨銅鑼灣旗艦店,零售,香港島,銅鑼灣,銅鑼灣Fashion Walk 記利佐治街11-19號地下35號鋪,22.2807233,114.1854627,香港銅鑼灣記利佐治街11-19號華登大廈,,2893 7008,星期一至日11:30pm－9:0pm,https://www.mimingmart.com/pages/stores,,Y,,,
彌明生活百貨觀塘店,零售,九龍,觀塘,觀塘道418號創紀之城五期apm 2層L2-2號鋪,22.3122535,114.2251183,香港觀塘apm創紀之城5期,,3619 5316,星期一至日12pm - 9:30pm,https://www.mimingmart.com/pages/stores,,Y,,,
彌明生活百貨荃灣店,零售,新界,荃灣,荃灣千色匯I期2樓2050舖（天橋旁）,22.3706219,114.1177482,香港荃灣眾安街68號,,2144 7077,星期一至日12pm－9pm ,https://www.mimingmart.com/pages/stores,,Y,,,
彌明生活百貨沙田店,零售,新界,沙田,沙田中心 3 樓 25G-H號舖,22.3826112,114.1902317,香港沙田橫壆街2-16號,,2688 6646,星期一至日12pm－9pm ,https://www.mimingmart.com/pages/stores,,Y,,,
彌明生活百貨旺角店,零售,九龍,旺角,旺角雅蘭中心地下LA10,22.3179977,114.169309,"Grand Tower, 625 Nathan Rd, Kowloon City, 香港",,2499 7238,星期一至日12pm－9pm ,https://www.mimingmart.com/pages/stores,,Y,,,
彌明生活百貨屯門店,零售,新界,屯門,屯門V city MTR層M-V18 & V19號舖,22.3953878,113.9739331,"V city, 83 Tuen Mun Heung Sze Wui Rd, Tuen Mun, 香港",,2659 8308,星期一至日10:30am－9:30pm,https://www.mimingmart.com/pages/stores,,Y,,,
彌明生活百貨尖沙咀店,零售,九龍,尖沙咀,尖沙咀加連威老道 39-41號 地下A舖（太平館對面）,22.3001262,114.1742339,,,2777 3369,星期一至日12pm－9pm ,https://www.mimingmart.com/pages/stores,,Y,,,
彌明生活百貨將軍澳店,零售,新界,將軍澳,東港城L1層176號舖,22.3163658,114.2652397,香港將軍澳重華路8號東港城商場,,2362 4066,星期一至日12pm－9pm ,https://www.mimingmart.com/pages/stores,,Y,,,
彌明生活百貨太古店,零售,香港島,太古,太古康怡廣場１樓F22A舖,22.2848144,114.2159423,香港鰂魚涌康山道1號,,2470 8088,星期一至日12:00pm－9:00pm ,https://www.mimingmart.com/pages/stores,,Y,,,
廣記粥店,飲食,新界,大埔,大埔安慈路1號,22.453352,114.166365,香港大埔安慈路1號海寶花園B座,,2144 0156,星期一至日 6:00am - 11:30pm,https://www.openrice.com/zh/hongkong/r-廣記粥店-大埔-粵菜-廣東-粥品-r7100,,Y,,,
廣記粥店,飲食,新界,粉嶺,粉嶺聯和墟聯安街市政大廈2樓熟食中心13號舖,22.499615,114.144537,香港粉嶺和滿街9號御庭軒8座,,2675-8120,星期一至日 05:00 - 18:00,https://www.openrice.com/zh/hongkong/r-廣記粥店-粉嶺-粵菜-廣東-粥品-r7180,@kkbbbeempty 照片,,"5/8罷市
標語支持五大訴求",,
幸茶舍 ,飲食,九龍,深水埗,深水埗西邨路19號南昌薈街市地下CF5號舖,,,,,m.me/BittersweetTeahouse,"星期一至四 11:30 - 21:00
星期五至六 11:30 - 22:00
星期日 11:30 - 21:00",https://www.openrice.com/zh/hongkong/r-幸茶舍-深水埗-台灣菜-台式飲品-r626599,,,店外貼支持示威及香港加油,相片,
幸福週末  Happy Holidays,飲食,香港島,銅鑼灣,銅鑼灣渣甸街36號地下5號舖,22.2794847,114.1854293,香港銅鑼灣渣甸街36號,,,星期一至五 11:00 - 22:00 星期六至日 11:00 - 22:30,https://www.openrice.com/zh/hongkong/r-幸福週末-銅鑼灣-台灣菜-台式飲品-r610986,照片,,"18/8 提供免費水, 店外設連儂牆",,
平昌 BBQ Mongkok,飲食,九龍,旺角,旺角西洋菜街1號兆萬中心13樓,22.31575,114.1706159,香港旺角西洋菜南街1N號兆萬中心,,2612 1682,星期一至日12:00 - 00:00,https://www.facebook.com/pyeongchangmk/,,,向記者學生醫護等提供折扣,,
常常集品 Chang Chang Goodstore,零售,九龍,油麻地,油麻地上海街273號1樓,22.310308,114.169774,香港油麻地上海街263-277號上海街263-277號,,/,"星期二至日 1pm - 7pm
星期一休息",https://www.google.com/search?q=常常集品,,,,,
小念頭,零售,九龍,旺角,"1/F, No. 75 Tung Choi Street, Mong Kok",22.3188671,114.1705301,香港旺角通菜街67-89號通菜街67-89號,,61831450,14:00 - ,https://www.facebook.com/littleideacakeshop/,,,20/8 《今日問真啲》真．香港小店,https://www.facebook.com/100most/videos/2566205206770896/?v=2566205206770896,
小伊甸 ,飲食,九龍,觀塘,觀塘官塘道436-446號官塘工業中心第四期1樓C室,,,,,37053143,"星期一 07:30 - 17:30
星期二至五 07:30 - 21:00
星期六07:30 - 13:30
星期日 休息",https://www.openrice.com/zh/hongkong/r-%E5%B0%8F%E4%BC%8A%E7%94%B8-%E8%A7%80%E5%A1%98-%E6%B8%AF%E5%BC%8F-%E5%8F%B0%E5%BC%8F%E9%A3%B2%E5%93%81-r524912,,,5/8 參與罷市,https://www.facebook.com/Littleedenkt/posts/743763822709455,
好記甜品屋,飲食,新界,馬鞍山,馬鞍山鞍祿街18號MOSTown新港城中心(4期)地下新港城街市S71號舖,22.4241753,114.23178,香港馬鞍山西沙路628號新港城,,/,/,https://www.openrice.com/zh/hongkong/r-好記甜品屋-馬鞍山-港式-甜品-糖水-r124383,,,,,
多多車仔麵,飲食,新界,大埔,大埔安泰路1號大埔廣場地下56號舖,22.452909,114.170445,香港大埔安泰路1號,,36194682,"星期一至日
11:00 - 23:00",https://www.facebook.com/多多車仔麵-1050976291761272/,https://www.openrice.com/zh/hongkong/r-多多車仔麵-大埔-港式-車仔麵-r621534,,20/8 《今日問真啲》真．香港小店,https://www.facebook.com/100most/videos/2566205206770896/?v=2566205206770896,
壹雙雜貨店,零售,九龍,觀塘,巧明街116-118號萬年工業大廈4字樓D10室,22.311027,114.224329,香港觀塘巧明街116-118號萬年工業大廈,,/,不定期開店/預約制,https://1in2zakka.com/,,,,,
基隆街五號,飲食,九龍,旺角,旺角基隆街5號2樓,22.32445,114.167463,香港太子基隆街1-7號基隆街1-7號,,6491 4224,星期一至日 18:00 - 23:30,https://www.openrice.com/zh/hongkong/r-基隆街五號-旺角-中東菜-r169480,,,5/8 參與罷市,https://www.facebook.com/kilungstreet/photos/a.208224099369559/1074186299439997/?type=3&theater,
基隆茶餐廳,飲食,九龍,太子,旺角界限街24號,22.3262821,114.1667638,香港太子界限街24-26號萬利樓,,23968971,星期一至日: 07:00-23:00,https://www.openrice.com/zh/hongkong/r-基隆茶餐廳-旺角-港式-r27172,,Y,為抗爭者提供食物,https://www.facebook.com/837548052969112/photos/a.858797850844132/2567910759932824/?type=3&theater,
土城日本料理,飲食,九龍,觀塘,觀塘駿業街67號駿業熟食市場1樓45號舖,,,,,5636 4761,星期一至日 11：30 - 15：00,,,,24/8 免費食物及水,,
圓圓 Double Bubble,飲食,九龍,深水埗,深水埗欽州街74A號地下3號舖,22.3313032,114.1609116,,,6886 2131,星期一至日 11:00 - 21:45,https://www.openrice.com/zh/hongkong/r-%E5%9C%93%E5%9C%93-%E6%B7%B1%E6%B0%B4%E5%9F%97-%E5%8F%B0%E7%81%A3%E8%8F%9C-%E5%8F%B0%E5%BC%8F%E9%A3%B2%E5%93%81-r574866,,,5/8 罷工,https://www.instagram.com/p/B0vwctuBWDq/?utm_source=ig_web_button_share_sheet,
嚐賞,飲食,九龍,觀塘,觀塘成業街15至17號成運工業大廈7樓28室,22.3103477,114.2266972,香港觀塘成業街15-17號成運工業大廈,,6228 0136,"星期一至五 10am - 7pm
星期日休息",https://zh-hk.facebook.com/whatsmymomcooking/,,,,,
嘉嫂辦館,飲食,香港島,鴨脷洲,鴨脷洲海怡半島東商場地下G58號舖,22.2433943,114.1483479,香港鴨脷洲海怡路18A號海怡東商場,,2651 0809,星期一至日 8:30am,https://zh-hk.facebook.com/kasogrocery/,,,,,
唇茶 Tea Only,飲食,九龍,尖沙咀,尖沙咀堪富利士道8A地鋪,22.2981926,114.1732786,香港尖沙咀加拿分道8-12E號嘉芬大廈,,55487740 (Whatsapp),/,https://www.facebook.com/Teaonlyhk/,https://www.openrice.com/zh/hongkong/r-唇茶-尖沙咀-港式-台式飲品-r639870,,5/8 罷工,https://hk.lifestyle.appledaily.com/etw/magazine/article/20190814/3_59931302/-逆權運動-戒茶飲指南-多間茶飲店彈入又彈出-一片睇晒染紅台飲店名單,
唇茶 Tea Only,飲食,九龍,旺角,旺角彌敦道688號旺角中心2樓SB06號舖,22.3201471,114.1694821,香港旺角彌敦道688號旺角中心 - (1),,51183708,"星期一至日
12:00 - 23:00",https://www.facebook.com/Teaonlyhk/,https://www.openrice.com/zh/hongkong/r-%E5%94%87%E8%8C%B6-%E6%97%BA%E8%A7%92-%E6%B8%AF%E5%BC%8F-%E5%8F%B0%E5%BC%8F%E9%A3%B2%E5%93%81-r590902,,5/8 罷工,https://hk.lifestyle.appledaily.com/etw/magazine/article/20190814/3_59931302/%E9%80%86%E6%AC%8A%E9%81%8B%E5%8B%95%E6%88%92%E8%8C%B6%E9%A3%B2%E6%8C%87%E5%8D%97%E5%A4%9A%E9%96%93%E8%8C%B6%E9%A3%B2%E5%BA%97%E5%BD%88%E5%85%A5%E5%8F%88%E5%BD%88%E5%87%BA%E4%B8%80%E7%89%87%E7%9D%87%E6%99%92%E6%9F%93%E7%B4%85%E5%8F%B0%E9%A3%B2%E5%BA%97%E5%90%8D%E5%96%AE,
咖啡熱 Coffever,飲食,香港島,銅鑼灣,銅鑼灣富明街2-6號寶明大廈3樓C室 ,22.2784711,114.1834466,香港銅鑼灣波斯富街96-106號寶明大廈,,6918 9374,"星期二至五 11:30 - 21:30
星期六至日 11:00 - 22:00
",https://www.openrice.com/zh/hongkong/r-咖啡熱-銅鑼灣-西式-all-day-breakfast-r620471,,,為抗爭者提供食物,https://www.facebook.com/180657409272018/photos/a.354470975223993/354470231890734/?type=3&theater,
和記餐廳,飲食,香港島,灣仔,灣仔謝斐道392-402號維新大廈地下E舖,22.2799007,114.1800005,"Shop E, G/F, Wai Sun Building, 392-402 Jaffe Road, Wan Chai, 香港",,2893 9880,星期一至日 7:00am - 6:00pm,https://www.openrice.com/zh/hongkong/r-和記餐廳-灣仔-港式-r566773,,,,,
和記餐廳,飲食,香港島,西灣河,西灣河聖十字徑38號鴻恩大廈地下7號舖,22.2811469,114.2222042,香港西灣河聖十字徑38號鴻恩大廈,,2567 6338,星期一至日 7:00am - 6:00pm,https://www.openrice.com/zh/hongkong/r-和記餐廳-西灣河-港式-粉麵-米線-r25801,https://www.facebook.com/WoKee/photos/a.1602284333331606/2684354938457868/?type=3&theater,,"5/8 罷工
請示威者食飯及飲品",https://www.facebook.com/WoKee/photos/a.1602284333331606/2684354938457868/?type=3&theater,
味山田,飲食(拉麵),九龍,觀塘,觀塘成業街7號東廣場地下G08舖,,,,,2114 4019,"星期一至六 11:00 - 21:30
星期日 全日休息",https://www.openrice.com/zh/hongkong/r-%E5%91%B3%E5%B1%B1%E7%94%B0-%E8%A7%80%E5%A1%98-%E6%97%A5%E6%9C%AC%E8%8F%9C-%E6%8B%89%E9%BA%B5-r173608,,,24/8 觀塘遊行免費派水,https://ibb.co/8cFMPFn,
呦呦鹿鳴布丁燒,飲食,新界,葵芳,葵芳葵富路7號葵涌廣場3樓TOP世界3069-T5-T6號舖,22.3578095,114.1279084,香港葵芳葵富路7-11號葵涌廣場3座,,91767426,星期一至日13:00 - 22:00,https://www.facebook.com/呦呦鹿鳴布丁燒-1958728431103840/,https://www.openrice.com/zh/hongkong/r-呦呦鹿鳴布丁燒-葵芳-日本菜-甜品-糖水-r583219,,11/8 【逆權小店】葵芳站催淚彈翌日 人流暴跌變死城 葵廣小店老闆：返到舖頭要洗眼,https://hk.lifestyle.appledaily.com/etw/magazine/article/20190814/3_59926399/-逆權小店-葵芳站催淚彈翌日-人流暴跌變死城-葵廣小店老闆-返到舖頭要洗眼,
叮叮老香港辦館 Hong Kong Tram Store,零售,香港島,小西灣,小西灣廣場2樓229號店,22.2627549,114.2488631,香港小西灣小西灣道10號,,/,12:00-20:00,https://www.facebook.com/hktramstore/,,,小西灣有店家日日放映會,https://www.facebook.com/327352754671373/posts/541455183261128?s=100004147711177&v=e&sfns=mo,
只 zi,飲食,九龍,尖沙咀,尖沙咀加連威老道66-76號威華大廈4樓402室,22.3002217,114.1755418,香港尖沙咀加連威老道66-76號威華大廈,,23251115,"星期一至六
13:00 - 23:00
星期日, 公眾假期
13:00 - 22:30",https://www.facebook.com/cafe.zizi/,https://www.openrice.com/zh/hongkong/r-只-尖沙咀-西式-all-day-breakfast-r448293,,5/8 罷工,https://www.instagram.com/p/B0l4gm5BRFQ/,
古珈玩具,零售,九龍,油麻地,油麻地彌敦道530-532號現時點商場2樓230號,22.3133429,114.1708509,香港油麻地彌敦道530號永僑大廈,,6098 7742,,https://zh-hk.facebook.com/Kuugatoys,,,,,
千之味刺身壽司專門店,飲食,九龍,深水埗,深水埗荔枝角道390號C號地舖,22.329678,114.159464,香港深水埗荔枝角道392-394號,,3704 7177,星期一至日 12:00pm - 10:30pm,https://www.openrice.com/zh/hongkong/r-御品-千之味-深水埗-日本菜-烏冬-r560105,,,,,
加藤屋 Katoya,飲食,九龍,黃大仙,慈雲山毓華街23號慈雲山中心地下1-3號舖,,,,,27629968,一至日 11:30 - 22:00,https://www.openrice.com/zh/hongkong/r-%E5%8A%A0%E8%97%A4%E5%B1%8B-%E6%85%88%E9%9B%B2%E5%B1%B1-%E6%97%A5%E6%9C%AC%E8%8F%9C-r618139,,,12/6 & 5/8 罷工,https://www.facebook.com/KatoyaHK/photos/a.1947284778847010/2341202266121924/?type=3&theater,
公平點 Fair Circle 荃灣 (辦公室、陳列室及倉庫)),零售,新界,荃灣,荃灣德士古道120號安泰國際中心2803室​,22.3648789,114.1201071,香港荃灣德士古道120號安泰國際中心,,31888064,"星期一至五 10am - 7pm
星期六、日及公衆假期休息",https://www.hkfairtradepower.com/zh_hk-contact.html,,,,,
公平點 Fair Circle 荃灣 (專櫃),零售,新界,荃灣,千色 Citistore (荃灣店) 地下化妝部公平點專櫃,22.3712417,114.1189367,香港荃灣荃灣街市街67-95號荃灣城市中心II,,31888064,星期一至日 10am - 10pm,https://www.hkfairtradepower.com/zh_hk-contact.html,,,,,
公平點 Fair Circle 炮台山 (門市),零售,香港島,炮台山,炮台山英皇道255號國都廣場2樓216店,22.2898562,114.194421,香港北角英皇道255號國都廣場,,31888064,"11:00am - 7:30pm (假日照常)，逢星期五11:00am - 7:00pm 
(3:00-4:00pm 外出午膳)  ",https://www.hkfairtradepower.com/zh_hk-contact.html,,,,,
八鯨料理,飲食,新界,大埔,大埔安泰路1號大埔廣場地下57號舖,22.4536774,114.1700875,香港大埔安泰路1號大埔廣場1座宜富閣,,26650997,"星期一至日
11:30 - 14:45
18:00 - 22:00",https://www.facebook.com/grampus8/,https://www.openrice.com/zh/hongkong/r-八鯨料理-大埔-日本菜-壽司-刺身-r50959,,20/8 《今日問真啲》真．香港小店,https://www.facebook.com/100most/videos/2566205206770896/?v=2566205206770896,
兄弟小食,飲食,香港島,鰂魚涌,鰂魚涌英皇道846號民新大廈地舖,22.2900006,114.2091198,香港鰂魚涌民新街15-19號,,??,??,https://www.openrice.com/zh/hongkong/r-兄弟小食,,,,,
侘寂珈琲 WabiSabi Coffee,飲食 (咖啡店),九龍,觀塘,觀塘觀塘道396號毅力工業中心4樓C室,,,,,2511 1929,"星期一至六 10:00 - 18:00; 
星期日 全日休息; 公眾假期 全日休息",https://www.openrice.com/zh/hongkong/r-侘寂珈琲-觀塘-西式-漢堡包-r463652,,,5/8 罷工,https://www.instagram.com/p/B0prx8FAcrH/?utm_source=ig_web_button_share_sheet,
任你點車仔麵,飲食,九龍,深水埗,深水埗福華街147號地下,22.331213,114.162522,香港元洲福華街135號福華街135號,,2488 3338,星期一至日9:30 am - 11:00pm,https://www.openrice.com/zh/hongkong/r-任你點車仔麵-深水埗-港式-車仔麵-r550657,,,,,
任你點車仔麵,飲食,香港島,灣仔,灣仔駱克道139號地舖,22.2783015,114.1730103,香港灣仔駱克道137-147號香江大廈,,3618 7551,星期一至日11:00 am - 00:00am,https://www.openrice.com/zh/hongkong/r-任你點車仔麵-灣仔-港式-車仔麵-r632324,,,,,
仙桃居,飲食,新界,屯門,屯門龍門居商場地下105號,22.3850551,113.9666617,香港屯門龍門路43號龍門居10座,,2449 6676 ,星期三至一 8:00am - 9:00pm,https://zh-hk.facebook.com/Yummyhouselmo,,,"連儂牆, 8.5免費早餐",https://www.facebook.com/Yummyhouselmo/photos/a.434776003285484/2312946742135058/?type=3&theater,
上車車仔麵,飲食,新界,沙田,沙田石門安群街3號京瑞廣場1期地下G06號舖,22.3888914,114.20842,香港沙田安群街8號8 On Kwan Street Shek Mun Shatin New Territories Hong Kong HSBC Shek Mun Building,,2448 0028,"星期一至六 11am - 10pm
星期日 11am - 9pm",https://www.openrice.com/zh/hongkong/r-上車車仔麵-沙田-港式-車仔麵-r531962,,,,,
一鳴燒,飲食,香港島,銅鑼灣,銅鑼灣軒尼詩道525號澳門逸園中心10樓,22.2803305,114.1837664,香港銅鑼灣軒尼詩道525號,,2388 9807,星期一至日 18:00 - 02:00,https://www.openrice.com/zh/hongkong/r-%E4%B8%80%E9%B3%B4%E7%87%92-%E9%8A%85%E9%91%BC%E7%81%A3-%E6%97%A5%E6%9C%AC%E8%8F%9C-%E4%B8%B2%E7%87%92-r549685,,,香港人加油,https://ibb.co/Jx6LXd8,
一起果醬 Let's Jam Bistro,飲食,新界,西貢,西貢市場街9號地下,22.3796671,114.2714209,香港西貢市場街17號,,39565646,"星期一至四 12:00 - 22:30
星期五 12:00 - 23:00
星期六/ 公眾假期前夕 11:00 - 23:00
星期日/公眾假期 11:00 - 22:30",https://zh-hk.facebook.com/pages/category/Restaurant/Lets-Jam-一起果醬-592839210780646/,http://instagram.com/letsjam_,,長期發帖及休息支持遊行,https://www.facebook.com/permalink.php?story_fbid=2530248217039726&id=592839210780646,
